un_stem list,total numbers
['estate'],6
['new orleans'],6
['record producer'],6
['parents-in-law'],6
['ranch'],6
['cowboy'],6
['misfit'],6
['poverty'],6
['war on terror'],6
['actress'],6
['witness to murder'],6
['prehistoric'],6
['motherly love'],6
['invisible man'],6
['yakuza'],6
['morality'],6
['beer'],6
['rock band'],6
['cannabis'],6
"[""women's prison""]",6
['loss of virginity'],6
['release from prison'],6
['teenage romance'],6
['mentor'],6
['italo-american'],6
['space colony'],6
['secret base'],6
['search'],6
['society'],6
['u.s. marine'],6
['frankenstein'],6
['victim'],6
"['backpacker', 'backpack']",6
['break-up'],6
['mistake in person'],6
['imaginary friend'],6
['hunter'],6
['co-worker'],6
['black and white'],6
['teleportation'],6
['minister'],6
['sun'],6
['dead body'],6
['great depression'],6
['attempted murder'],6
['ex-wife'],6
['oil'],6
['family vacation'],6
['guerrilla'],6
['art gallery'],6
['hold-up robbery'],6
['human trafficking'],6
['lust'],6
"['race', 'racing', 'races']",6
['leader'],6
['class'],6
['vietnam'],6
['boarding school'],6
['stag night'],6
['ransom'],6
"['performance', 'performer']",6
"['invisibility', 'invisible']",6
['great britain'],6
['united states–mexico barrier'],6
['mad scientist'],6
['governor'],6
"['spirituality', 'spiritualism']",6
"['flirt', 'flirting']",6
['stupidity'],6
['tyrannosaurus rex'],6
['prehistoric times'],6
['regret'],6
['conspiracy of murder'],6
['ex soldier'],5
['racial segregation'],5
"['crusade', 'crusader']",5
['witness protection'],5
['tradition'],5
['flight'],5
['biker'],5
['u.s. marshal'],5
['underwear'],5
"['public', 'publicity']",5
['victorian england'],5
['evil spirit'],5
['the big game'],5
['lost'],5
['palace'],5
['florist'],5
['troll'],5
['intern'],5
['walkie talkie'],5
['school of witchcraft'],5
['throat slitting'],5
['fireworks'],5
['vegetarian'],5
['theater'],5
['apprentice'],5
['summer camp'],5
['lighthouse'],5
['coach'],5
['austria'],5
['deadly'],5
['religious'],5
['shopping mall'],5
['psychotherapy'],5
['drug cartel'],5
['brainwashing'],5
['bounty'],5
['vampire hunter'],5
"['engineering', 'engineer', 'engine']",5
['louisiana'],5
['sorority'],5
"['transplantation', 'transplant']",5
['cavalry'],5
"[""writer's block""]",5
['real estate'],5
['gorilla'],5
"['auction', 'auctioneer']",5
['ring'],5
['britain'],5
"[""children's home""]",5
['bus'],5
['evidence'],5
['surgery'],5
['gulf war'],5
['salesclerk'],5
['yuppie'],5
['viking'],5
"['operation', 'operative']",5
['intrigue'],5
['hiding place'],5
['tv ratings'],5
['firearm'],5
['courage'],5
['human being'],5
['jason vorhees'],5
['magical object'],5
['control'],5
"['testting', 'testing', 'test']",5
['giant'],5
['wine'],5
"['captive', 'captivity']",5
['aquarium'],5
"['surprise', 'surprising']",5
['psychological thriller'],5
['self-referential'],5
['killing spree'],5
['navy'],5
['settler'],5
['ambassador'],5
['earth'],5
['castration'],5
['impostor'],5
['colombia'],5
['psychopathy'],5
['on the road'],5
['apartment'],5
['billionaire'],5
['moral conflict'],5
['honor'],5
"['toxication', 'toxic']",5
['stadium'],5
['commando'],5
['principal'],5
['heir to the throne'],5
['pedophile'],5
['space station'],5
['loss of daughter'],5
['jurors'],5
['cinderella'],5
['studies'],5
['relation'],5
['role of women'],5
['crisis'],5
['human experimentation'],5
['countryside'],5
['super villain'],5
['plastic surgery'],5
['united nations'],5
['expedition'],5
"['wound', 'wounded']",5
